#{"t_start": 1771155517.2183504, "env_id": "Swimmer-v5"}
r,l,t
-3.995027,1000,2.994937
-10.994258,1000,3.287985
6.451922,1000,3.579523
1.083229,1000,3.87354
-1.644832,1000,4.185153
-8.071549,1000,8.555281
3.131813,1000,8.848923
-9.072735,1000,9.142896
17.402762,1000,9.45055
2.07016,1000,9.743503
23.42381,1000,20.207711
41.296677,1000,26.647679
34.251722,1000,33.111851
19.487611,1000,39.759233
12.653184,1000,46.199099
9.573625,1000,56.737258
23.298986,1000,63.19632
24.778385,1000,69.651021
33.755294,1000,76.115407
27.065537,1000,82.55826
25.506944,1000,93.198039
30.140717,1000,99.640273
37.02705,1000,106.018678
37.588795,1000,112.358534
44.995349,1000,118.720284
39.442458,1000,129.124483
7.427085,1000,135.468306
4.759392,1000,141.815867
2.068248,1000,148.157485
25.073328,1000,154.523887
16.936851,1000,164.886492
29.484132,1000,171.200417
34.926915,1000,177.68468
58.693944,1000,184.064735
60.354876,1000,190.443957
47.864045,1000,200.733033
38.021418,1000,207.215993
16.905647,1000,213.618403
28.237746,1000,219.955096
21.702089,1000,226.301259
31.248765,1000,236.662989
18.18007,1000,243.095172
18.383509,1000,249.560182
33.3374,1000,255.984538
19.248713,1000,262.40935
14.231786,1000,272.574776
12.934953,1000,279.028207
17.317718,1000,285.438876
14.181763,1000,291.898863
11.853111,1000,298.266028
19.566606,1000,308.345033
13.855045,1000,314.710707
5.549706,1000,321.091955
25.403848,1000,327.465091
26.760562,1000,333.835867
8.968466,1000,343.935645
9.85998,1000,350.330892
18.483327,1000,356.700193
8.167088,1000,363.093549
14.512852,1000,369.468145
13.56174,1000,379.794368
29.14338,1000,386.191735
15.477069,1000,392.593135
42.278518,1000,398.976892
23.90492,1000,405.390589
23.033348,1000,415.73628
33.5319,1000,422.147205
42.372676,1000,428.541541
22.043494,1000,434.943579
23.815287,1000,441.368284
18.090378,1000,451.522525
14.857249,1000,457.940321
17.242958,1000,464.361684
23.419555,1000,470.771025
20.551802,1000,477.177738
17.9915,1000,487.31897
27.003802,1000,493.717906
28.921857,1000,500.119575
39.201987,1000,506.530246
37.458416,1000,512.941514
39.873254,1000,523.221462
25.787733,1000,529.643625
25.746896,1000,536.061045
18.221328,1000,542.482563
18.601426,1000,548.917963
13.583161,1000,559.287734
16.474026,1000,565.71277
20.523956,1000,572.141592
31.369099,1000,578.579305
