#{"t_start": 1771164183.2749183, "env_id": "Swimmer-v5"}
r,l,t
-7.544254,1000,3.176229
-10.104333,1000,3.461249
27.949727,1000,3.745194
-4.361989,1000,4.028232
-16.939317,1000,4.334336
9.884807,1000,8.60569
16.22232,1000,8.888922
16.969579,1000,9.172756
13.76102,1000,9.468231
-0.253278,1000,9.752944
34.195069,1000,19.847753
40.04526,1000,26.241122
30.126983,1000,32.630993
32.803487,1000,39.019347
20.829733,1000,45.414946
25.081967,1000,55.884308
40.478763,1000,62.274716
29.097886,1000,68.632725
30.417109,1000,74.987829
21.303228,1000,81.345999
35.611718,1000,91.765658
33.034249,1000,98.156087
34.597192,1000,104.558129
37.928614,1000,110.955641
29.144306,1000,117.38872
32.213807,1000,127.727982
