#{"t_start": 1771149879.4264972, "env_id": "Swimmer-v5"}
r,l,t
0.013072,1000,3.238946
6.069008,1000,3.526494
-14.186734,1000,3.814068
-5.910587,1000,4.100147
1.341865,1000,4.398456
-5.543264,1000,8.732255
8.587864,1000,9.019224
-3.694497,1000,9.305783
2.572126,1000,9.626814
-10.444565,1000,9.913794
38.808094,1000,20.333658
36.50577,1000,26.633929
27.091265,1000,32.890706
23.435038,1000,39.166034
24.460919,1000,45.454057
6.543748,1000,55.804245
0.949278,1000,62.00934
35.666838,1000,68.253534
22.690158,1000,74.535587
35.219584,1000,80.848166
44.399496,1000,91.252143
41.19317,1000,97.611856
41.292393,1000,103.98139
28.937488,1000,110.36759
26.51044,1000,116.803736
37.076088,1000,127.135768
27.610054,1000,133.524197
22.898305,1000,139.907483
30.999,1000,146.296047
22.32764,1000,152.666774
18.746461,1000,162.982786
1.175242,1000,169.379054
1.749899,1000,175.820417
3.20633,1000,182.228586
-4.779761,1000,188.634273
-3.53735,1000,199.000728
5.891763,1000,205.417337
22.575143,1000,211.815433
13.291154,1000,218.206398
3.452537,1000,224.601879
0.083518,1000,234.906628
-2.142008,1000,241.313022
1.103138,1000,247.71408
-3.703716,1000,254.10714
6.401095,1000,260.516669
7.009386,1000,270.800057
1.394211,1000,277.257758
-0.600959,1000,283.658756
15.394497,1000,290.08414
27.382014,1000,296.488554
10.782554,1000,306.842377
12.425075,1000,313.245654
4.934342,1000,319.635325
20.466302,1000,326.041028
27.818533,1000,332.444578
35.087206,1000,342.770438
7.890406,1000,349.21343
22.272495,1000,355.630351
29.925265,1000,362.04733
24.601838,1000,368.467509
2.119733,1000,378.756283
32.428209,1000,385.072516
25.801355,1000,391.367114
20.539954,1000,397.689148
22.13778,1000,404.009686
23.668925,1000,414.149638
23.263202,1000,420.474057
10.948592,1000,426.802331
6.293416,1000,433.146881
5.057923,1000,439.471584
4.602249,1000,449.733667
7.432559,1000,456.159798
8.562455,1000,462.582763
1.016933,1000,469.003186
5.533545,1000,475.428228
2.302278,1000,485.682373
2.658673,1000,492.122374
8.567101,1000,498.551429
4.650369,1000,504.97282
24.737627,1000,511.39762
23.617338,1000,521.74801
31.694574,1000,528.169605
25.55687,1000,534.631492
27.973786,1000,541.053537
24.698639,1000,547.477799
21.88385,1000,557.504392
24.450384,1000,563.892076
8.175503,1000,570.270792
18.066898,1000,576.675528
21.869644,1000,583.111805
17.790589,1000,593.226352
15.135322,1000,599.573828
12.962068,1000,605.963816
15.667978,1000,612.34135
14.046488,1000,618.726006
10.793963,1000,628.937684
10.503265,1000,635.334955
11.134737,1000,641.719552
12.841253,1000,648.140692
13.332054,1000,654.580008
12.269855,1000,664.791352
26.979524,1000,671.125889
14.241206,1000,677.465536
15.75493,1000,683.812535
13.939827,1000,690.178878
16.044213,1000,700.161782
20.545531,1000,706.511487
26.236464,1000,712.86966
25.890382,1000,719.242866
26.466327,1000,725.606251
31.829371,1000,735.685686
29.267328,1000,742.054996
25.311595,1000,748.438673
21.611754,1000,754.798661
29.431548,1000,761.153167
39.829062,1000,771.266346
39.868097,1000,777.623415
22.98073,1000,783.975392
28.785325,1000,790.329839
24.191748,1000,796.685075
27.752643,1000,806.848231
31.343651,1000,813.211995
25.441448,1000,819.571164
31.704968,1000,826.006876
36.380814,1000,832.50547
31.279246,1000,842.835022
31.268451,1000,849.277756
17.449227,1000,855.71249
29.270708,1000,862.197443
26.692199,1000,868.638159
25.33432,1000,878.837582
19.918882,1000,885.253102
24.271996,1000,891.695214
32.29625,1000,898.127754
28.497484,1000,904.560034
22.956305,1000,914.891376
29.855387,1000,921.336121
23.774284,1000,927.843941
34.53408,1000,934.287772
43.484015,1000,940.701219
33.25443,1000,950.997292
33.793885,1000,957.363899
37.085681,1000,963.733094
28.511475,1000,970.103522
31.426615,1000,976.480985
24.32469,1000,986.760321
26.503369,1000,993.134058
21.85635,1000,999.503874
16.798349,1000,1005.882894
17.362674,1000,1012.257549
13.348814,1000,1022.523477
27.938229,1000,1028.904791
17.71999,1000,1035.2983
19.394355,1000,1041.670124
27.402179,1000,1048.042559
20.37266,1000,1058.245981
26.976073,1000,1064.620198
31.298656,1000,1070.994227
28.242303,1000,1077.364391
28.362316,1000,1083.743317
28.669873,1000,1093.903022
31.240691,1000,1100.22449
