#{"t_start": 1771148963.1353316, "env_id": "Swimmer-v5"}
r,l,t
0.013072,1000,5.669275
6.069008,1000,5.955794
-14.186734,1000,6.241707
-5.910587,1000,6.527572
1.341865,1000,6.827507
-5.543264,1000,11.278271
8.587864,1000,11.564977
-3.694497,1000,11.851165
2.572126,1000,12.138012
-10.444565,1000,12.424604
38.808094,1000,22.894924
36.50577,1000,29.225862
27.091265,1000,35.57409
23.435038,1000,41.924926
24.460919,1000,48.261398
6.543748,1000,58.743256
0.949278,1000,65.084306
35.666838,1000,71.450351
22.690158,1000,77.784152
35.219584,1000,84.075146
44.399496,1000,94.425954
41.19317,1000,100.781308
41.292393,1000,107.144205
28.937488,1000,113.537734
26.51044,1000,119.951271
37.076088,1000,130.335974
27.610054,1000,136.767333
22.898305,1000,143.213383
30.999,1000,149.706902
22.32764,1000,156.421331
18.746461,1000,166.65293
1.175242,1000,173.111009
1.749899,1000,179.539763
3.20633,1000,185.961793
-4.779761,1000,192.36444
-3.53735,1000,202.635086
5.891763,1000,209.021992
22.575143,1000,215.405157
13.291154,1000,221.787024
3.452537,1000,228.171461
0.083518,1000,238.326797
-2.142008,1000,244.707099
1.103138,1000,251.110795
-3.703716,1000,257.46225
6.401095,1000,263.821569
7.009386,1000,273.977933
1.394211,1000,280.290203
-0.600959,1000,286.616688
15.394497,1000,292.946486
27.382014,1000,299.26376
