#{"t_start": 1771158330.80664, "env_id": "Swimmer-v5"}
r,l,t
14.018869,1000,2.704235
11.77976,1000,2.985538
-4.182367,1000,3.26797
-0.498352,1000,3.550276
-0.365344,1000,3.846404
7.567707,1000,8.097404
-4.744261,1000,8.381479
-0.131028,1000,8.666488
10.289732,1000,8.96446
-10.023518,1000,9.248
11.052435,1000,19.594473
39.011489,1000,25.966753
21.444644,1000,32.373426
35.521844,1000,38.757161
25.103692,1000,45.142893
22.507736,1000,55.582053
20.870041,1000,61.988315
21.451932,1000,68.384142
27.146935,1000,74.784067
18.743256,1000,81.175488
22.663686,1000,91.638221
17.026693,1000,98.03809
22.957735,1000,104.442485
17.695641,1000,110.8653
0.571179,1000,117.308868
17.076164,1000,127.365441
6.412691,1000,133.768711
13.845066,1000,140.178873
16.494663,1000,146.593945
-8.193373,1000,153.002153
1.600757,1000,163.130312
-3.417954,1000,169.558438
-12.314809,1000,175.98501
20.221603,1000,182.390882
43.884729,1000,188.795921
24.969776,1000,199.112145
25.906359,1000,205.545613
11.6223,1000,211.972856
32.517243,1000,218.399593
17.648936,1000,224.825909
24.551111,1000,235.077101
22.947303,1000,241.513235
15.98109,1000,248.114398
20.772212,1000,254.550077
26.202632,1000,260.991428
13.945633,1000,271.347872
24.456033,1000,277.782836
20.699212,1000,284.223855
19.09724,1000,290.676541
9.738637,1000,297.116009
14.073192,1000,307.402469
21.924967,1000,313.83308
14.766274,1000,320.249791
26.619906,1000,326.686208
16.365853,1000,333.118713
21.25053,1000,343.343098
-0.374203,1000,349.768724
65.739403,1000,356.196174
61.793699,1000,362.625237
32.557712,1000,369.060753
43.1594,1000,379.437434
37.37149,1000,385.871337
40.569624,1000,392.304324
37.297622,1000,398.740228
27.733267,1000,405.181602
36.805373,1000,415.483346
28.861613,1000,421.902067
20.506112,1000,428.335573
22.19696,1000,434.788509
13.642115,1000,441.21975
18.784568,1000,451.334975
41.542092,1000,457.772743
24.579344,1000,464.227866
25.836051,1000,470.658031
25.989338,1000,477.088874
15.568557,1000,487.25429
28.804107,1000,493.704362
38.250004,1000,500.14168
24.957802,1000,506.591419
26.041664,1000,513.043071
32.953295,1000,523.214742
32.184293,1000,529.657509
29.530989,1000,536.10881
32.714777,1000,542.567089
33.12737,1000,549.001737
36.383373,1000,559.09601
39.276514,1000,565.502455
42.910926,1000,571.917446
35.728915,1000,578.338645
49.610074,1000,584.749041
49.688452,1000,594.929839
53.33777,1000,601.332808
52.643606,1000,607.762875
45.390401,1000,614.183645
49.304448,1000,620.607088
57.778427,1000,630.770843
53.008165,1000,637.204428
55.539362,1000,643.640051
52.936808,1000,650.066671
55.247702,1000,656.817426
53.046013,1000,667.075339
53.222745,1000,673.49422
54.065723,1000,679.925269
52.307838,1000,686.370806
48.162318,1000,692.844155
54.144081,1000,703.112254
51.421874,1000,709.631123
56.152416,1000,716.151405
59.053972,1000,722.695195
61.814145,1000,729.210061
58.711384,1000,739.574103
61.670269,1000,746.095198
59.866209,1000,752.637166
63.059617,1000,759.154186
59.701543,1000,765.676449
59.768365,1000,776.125844
60.050517,1000,782.654563
61.102245,1000,789.180025
60.927357,1000,795.709131
60.120529,1000,802.231943
57.884425,1000,812.630278
58.117089,1000,819.151435
61.208125,1000,825.728983
59.539157,1000,832.244207
59.193414,1000,838.779274
63.489135,1000,849.172808
59.720281,1000,855.710896
59.339013,1000,862.193165
64.30764,1000,868.644997
60.213606,1000,875.107212
58.71566,1000,885.374097
67.121937,1000,891.813559
73.44209,1000,898.277286
65.908769,1000,904.733588
64.656372,1000,911.174387
69.377513,1000,921.391102
66.321513,1000,927.856553
64.532859,1000,934.301081
61.039984,1000,940.746893
65.833079,1000,947.187334
69.63182,1000,957.417272
63.730016,1000,963.852269
70.093356,1000,970.298767
64.650669,1000,976.743971
60.849728,1000,983.20364
69.084514,1000,993.466461
62.526895,1000,999.916875
63.739319,1000,1006.373771
64.341811,1000,1012.841033
64.029301,1000,1019.293543
66.176131,1000,1029.580085
68.415114,1000,1036.032926
63.788624,1000,1042.50487
64.25445,1000,1048.962895
66.511963,1000,1055.521748
69.191395,1000,1065.70959
72.140166,1000,1072.184129
70.384488,1000,1078.669253
71.473708,1000,1085.125315
73.097559,1000,1091.583457
72.522436,1000,1101.927326
85.672599,1000,1108.373415
70.250347,1000,1114.819833
56.394953,1000,1121.269125
47.044493,1000,1127.737004
58.308856,1000,1138.015875
63.046115,1000,1144.48933
64.938727,1000,1150.934921
65.067434,1000,1157.444692
66.340948,1000,1163.922338
59.816029,1000,1174.264844
78.05218,1000,1180.731661
73.713182,1000,1187.202686
75.475177,1000,1193.651466
64.259663,1000,1200.105063
69.30349,1000,1210.347851
72.036215,1000,1216.804115
75.584646,1000,1223.249111
72.050637,1000,1229.693772
76.121245,1000,1236.133245
88.427513,1000,1246.46585
70.589051,1000,1252.890534
90.547814,1000,1259.282103
103.383452,1000,1265.658699
42.615119,1000,1272.039063
90.330443,1000,1282.506141
114.467782,1000,1288.925286
49.998702,1000,1295.347134
102.954157,1000,1301.797388
101.992797,1000,1308.224293
64.549428,1000,1318.408409
147.121842,1000,1324.832279
150.913721,1000,1331.269624
202.53237,1000,1337.715594
47.9219,1000,1344.200731
29.704182,1000,1354.285918
23.907842,1000,1360.626004
37.22919,1000,1366.943706
47.166159,1000,1373.281729
36.567141,1000,1379.629944
28.737488,1000,1389.764105
27.391804,1000,1396.096801
30.454496,1000,1402.427306
16.657624,1000,1408.762433
17.067591,1000,1415.11873
20.311357,1000,1425.26308
23.470341,1000,1431.593622
19.321461,1000,1437.939416
9.213069,1000,1444.299595
33.854068,1000,1450.612011
16.530361,1000,1460.536329
11.274711,1000,1466.887538
8.931363,1000,1473.291749
10.399091,1000,1479.663807
19.660465,1000,1486.018545
26.549397,1000,1496.034495
30.75503,1000,1502.422011
14.37569,1000,1508.791612
4.889044,1000,1515.150961
6.674365,1000,1521.528746
-1.396368,1000,1531.552717
11.713544,1000,1537.890477
23.210396,1000,1544.234035
16.515537,1000,1550.569091
13.340302,1000,1556.921025
26.508311,1000,1567.083649
25.7077,1000,1573.460155
17.5337,1000,1579.809007
17.851223,1000,1586.158716
23.225089,1000,1592.50187
38.616672,1000,1602.601835
19.492573,1000,1608.946698
17.417009,1000,1615.296195
21.726712,1000,1621.65032
30.892897,1000,1628.005016
21.991953,1000,1637.96667
20.091899,1000,1644.291262
42.003957,1000,1650.812575
39.122944,1000,1657.285546
43.558748,1000,1663.640035
23.900523,1000,1673.957429
24.955977,1000,1680.394351
24.42328,1000,1686.80677
24.237458,1000,1693.22775
25.87867,1000,1699.66524
21.251575,1000,1710.051358
25.160842,1000,1716.487308
35.267422,1000,1722.90167
25.102995,1000,1729.324664
24.513318,1000,1735.735889
17.436491,1000,1746.071825
17.882108,1000,1752.488319
17.770142,1000,1758.917275
17.585786,1000,1765.325465
21.238723,1000,1771.744133
22.619558,1000,1782.06947
20.618481,1000,1788.513096
20.12587,1000,1794.924073
26.967412,1000,1801.33748
24.076206,1000,1807.75431
23.502892,1000,1818.084444
26.871181,1000,1824.498928
25.266514,1000,1830.920304
18.839626,1000,1837.385694
21.975525,1000,1843.775993
16.518786,1000,1854.113819
22.083359,1000,1860.438363
19.221266,1000,1866.760201
22.050037,1000,1873.102079
19.238129,1000,1879.426084
19.089506,1000,1889.655914
19.196179,1000,1895.982786
21.734222,1000,1902.325765
18.16751,1000,1908.665997
20.009387,1000,1914.990101
21.027266,1000,1925.252663
19.494521,1000,1931.599534
23.559315,1000,1937.93071
22.056133,1000,1944.258794
22.468212,1000,1950.599527
22.099788,1000,1960.759715
18.237938,1000,1967.099438
21.143926,1000,1973.436597
16.803227,1000,1979.769904
18.325085,1000,1986.109607
17.215586,1000,1996.339693
27.43297,1000,2002.672132
27.6977,1000,2009.009408
25.855752,1000,2015.361606
21.831497,1000,2021.709562
11.765385,1000,2031.940654
17.925186,1000,2038.286532
-0.09624,1000,2044.63529
-22.967703,1000,2050.977457
-17.09788,1000,2057.321393
-15.726096,1000,2067.521331
-1.956232,1000,2073.880489
-14.553868,1000,2080.230725
-1.776891,1000,2086.574228
1.179492,1000,2092.915198
-6.957934,1000,2103.125789
0.072327,1000,2109.47132
-16.165145,1000,2115.821028
-2.230265,1000,2122.161119
-14.680532,1000,2128.521898
-6.817548,1000,2138.739634
-15.361698,1000,2145.120771
-12.426335,1000,2151.468075
-18.195267,1000,2157.824062
-12.474603,1000,2164.163981
-19.858991,1000,2174.321413
-25.196807,1000,2180.666438
-23.537514,1000,2187.052814
-11.173277,1000,2193.444309
-0.680089,1000,2199.809065
-2.76969,1000,2209.961027
2.090375,1000,2216.32324
0.052379,1000,2222.673787
-4.725725,1000,2229.053589
14.845537,1000,2235.429722
-11.753324,1000,2245.64671
-9.899246,1000,2252.02879
-13.420181,1000,2258.416758
17.586983,1000,2264.79274
10.81107,1000,2271.179485
5.69944,1000,2281.49002
25.6035,1000,2287.887719
22.540178,1000,2294.270947
18.725226,1000,2300.646014
-7.397271,1000,2306.983532
20.379889,1000,2317.079563
-9.489676,1000,2323.423872
30.181512,1000,2329.794842
4.721202,1000,2336.168409
19.843038,1000,2342.550007
6.198878,1000,2352.684819
10.330634,1000,2359.07041
17.398654,1000,2365.455721
21.050296,1000,2371.804008
23.740236,1000,2378.151532
22.209489,1000,2388.356764
21.470055,1000,2394.692984
20.126577,1000,2401.031893
17.522975,1000,2407.374273
18.502583,1000,2413.7239
24.497388,1000,2423.757701
16.172506,1000,2430.099162
13.135799,1000,2436.447457
14.178602,1000,2442.804228
26.840324,1000,2449.133452
40.043308,1000,2459.247571
45.822923,1000,2465.590949
27.356235,1000,2471.956208
40.036756,1000,2478.302904
52.729143,1000,2484.638146
49.141092,1000,2494.702613
41.24622,1000,2501.062325
50.166799,1000,2507.401607
28.123319,1000,2513.734836
29.707232,1000,2520.074855
37.463019,1000,2530.144399
36.730473,1000,2536.50325
30.466513,1000,2542.846081
21.446483,1000,2549.198259
20.688237,1000,2555.568342
17.441794,1000,2565.802506
21.42293,1000,2572.14188
21.101557,1000,2578.490354
21.532525,1000,2584.856192
23.610694,1000,2591.211311
23.310215,1000,2601.352462
22.721392,1000,2607.697218
32.715779,1000,2614.073628
23.900143,1000,2620.423984
25.791072,1000,2626.827631
41.603551,1000,2637.058587
27.256369,1000,2643.424058
38.810312,1000,2649.789414
37.87277,1000,2656.135626
47.721574,1000,2662.808039
8.771209,1000,2673.029406
18.923957,1000,2679.444392
9.676592,1000,2685.854816
20.613335,1000,2692.236277
-8.638464,1000,2698.635914
-6.477601,1000,2708.864843
9.761784,1000,2715.256314
17.355408,1000,2721.644928
-3.418639,1000,2728.210587
-5.084266,1000,2734.599043
1.118989,1000,2744.807675
0.453882,1000,2751.18822
-1.144166,1000,2757.582233
34.735441,1000,2763.972034
-3.463134,1000,2770.357212
36.589585,1000,2780.492011
39.067437,1000,2786.852655
41.776574,1000,2793.201767
43.622591,1000,2799.552601
17.572106,1000,2805.916444
