#{"t_start": 1771161150.0280864, "env_id": "Swimmer-v5"}
r,l,t
5.170667,1000,2.95866
0.492632,1000,3.246072
16.884707,1000,3.534144
3.262069,1000,3.82073
-18.031072,1000,4.126354
-1.188103,1000,8.344191
10.651054,1000,8.633557
-10.919779,1000,8.922048
-2.887146,1000,9.225485
-4.097866,1000,9.513146
26.164242,1000,19.634149
36.247426,1000,25.957628
25.905425,1000,32.394786
27.641728,1000,38.81738
34.054547,1000,45.247984
17.263486,1000,55.630698
31.971535,1000,62.131836
36.767916,1000,68.617497
39.000137,1000,75.04248
39.809965,1000,81.429012
26.089066,1000,91.73802
33.420455,1000,98.114784
30.385933,1000,104.504358
27.632623,1000,110.923354
-5.707689,1000,117.316553
21.981098,1000,127.627814
24.54152,1000,134.015992
26.513289,1000,140.397011
24.42433,1000,146.785915
24.011547,1000,153.224688
28.448918,1000,163.679937
38.608009,1000,170.063135
40.0389,1000,176.45618
34.251371,1000,182.847821
18.168514,1000,189.247111
20.29366,1000,199.577268
26.009454,1000,205.995505
25.118447,1000,212.402475
23.523732,1000,218.801959
16.723998,1000,225.203725
20.926296,1000,235.529008
22.440733,1000,241.929073
25.062785,1000,248.323722
28.758123,1000,254.720906
21.993578,1000,261.124372
20.908176,1000,271.472529
21.98563,1000,277.925177
18.340905,1000,284.378294
21.523581,1000,290.835764
17.18078,1000,297.298237
18.060439,1000,307.713673
22.919448,1000,314.075656
25.02717,1000,320.446477
17.437389,1000,326.794369
-11.495325,1000,333.147319
-17.613181,1000,343.387128
-20.931369,1000,349.74763
-23.805242,1000,356.09699
-25.964756,1000,362.45582
-17.635057,1000,368.81041
-10.5764,1000,379.074199
-7.210436,1000,385.433311
-2.815214,1000,391.798914
12.79637,1000,398.157274
22.648073,1000,404.508752
42.413459,1000,414.684902
43.239268,1000,421.043647
37.578883,1000,427.408505
39.24366,1000,433.760979
2.285061,1000,440.130134
-12.051281,1000,450.331527
23.144357,1000,456.739972
31.638116,1000,463.117876
23.02377,1000,469.469334
19.193933,1000,475.815769
24.691028,1000,485.833769
23.778165,1000,492.215929
39.795868,1000,498.588067
24.338889,1000,504.961931
49.009841,1000,511.33901
7.50437,1000,521.720061
-3.11578,1000,528.152227
-2.126121,1000,534.576577
-6.076662,1000,540.996658
9.218583,1000,547.437091
6.718084,1000,557.597059
8.500639,1000,564.05718
10.686028,1000,570.53999
14.758666,1000,577.043844
11.696014,1000,583.522132
41.316467,1000,593.949343
48.640155,1000,600.414857
18.257667,1000,607.193587
53.570437,1000,613.672346
19.232246,1000,620.155308
41.209411,1000,630.627081
29.765396,1000,637.074143
-24.013994,1000,643.485511
41.826759,1000,649.879863
43.265293,1000,656.272614
40.988657,1000,666.721164
28.924102,1000,673.111611
36.002206,1000,679.564855
43.887775,1000,686.021309
10.861188,1000,692.409752
40.40548,1000,702.502574
39.401908,1000,708.872582
17.572125,1000,715.236688
20.308002,1000,721.621077
18.41513,1000,728.004859
15.122919,1000,738.036315
15.33247,1000,744.414223
14.842386,1000,750.806854
6.847804,1000,757.177433
18.637058,1000,763.552006
19.126303,1000,773.56415
16.704645,1000,779.941583
24.203373,1000,786.327213
10.194988,1000,792.711827
-11.379892,1000,799.102307
3.151333,1000,809.283908
5.436362,1000,815.703247
7.302505,1000,822.085854
15.119219,1000,828.471159
8.354818,1000,835.198782
2.696725,1000,845.288218
-27.360754,1000,851.668803
16.75598,1000,858.074761
16.359198,1000,864.469393
17.987057,1000,870.858795
12.083431,1000,880.975165
11.115056,1000,887.418837
2.119979,1000,893.837018
-10.056714,1000,900.235615
4.508136,1000,906.636069
19.741082,1000,916.71485
16.001397,1000,923.144926
41.085059,1000,929.571653
-3.293842,1000,935.994427
-5.434563,1000,942.418317
15.92712,1000,952.526875
19.319117,1000,958.960775
22.003856,1000,965.394168
18.851697,1000,971.822129
12.439898,1000,978.264487
14.073946,1000,988.49052
18.426917,1000,994.936192
12.730736,1000,1001.372077
-14.687849,1000,1007.811403
-15.302445,1000,1014.223549
15.110474,1000,1024.299654
7.35127,1000,1030.718268
-5.34149,1000,1037.158385
9.763831,1000,1043.585561
33.554324,1000,1050.018041
13.738732,1000,1060.193366
-23.304684,1000,1066.63051
-23.196171,1000,1073.043464
-20.099542,1000,1079.465795
16.859083,1000,1085.90706
16.761449,1000,1096.177312
11.81202,1000,1102.617551
7.963564,1000,1109.047993
-17.850961,1000,1115.502535
12.73066,1000,1122.010819
12.490719,1000,1132.354433
19.654474,1000,1138.842261
25.198258,1000,1145.328502
1.357078,1000,1151.846154
-0.684238,1000,1158.335783
0.949436,1000,1168.688831
21.070058,1000,1175.166306
36.478358,1000,1181.663002
50.249546,1000,1188.144612
24.991408,1000,1194.610436
43.463373,1000,1204.981975
3.821905,1000,1211.465415
34.034115,1000,1217.924195
25.655003,1000,1224.390937
22.946617,1000,1230.873511
25.866699,1000,1241.310754
19.129133,1000,1247.77261
23.212399,1000,1254.193573
21.695431,1000,1260.668272
15.455623,1000,1267.097239
-0.611734,1000,1277.300862
-2.267072,1000,1283.706075
6.067164,1000,1290.105266
18.832127,1000,1296.515196
32.044134,1000,1302.911862
0.210442,1000,1313.048694
-26.362498,1000,1319.44363
-38.951889,1000,1325.847992
32.779289,1000,1332.252369
11.605873,1000,1338.6178
29.728309,1000,1348.614388
-3.764159,1000,1354.95573
-3.715938,1000,1361.288138
-4.379104,1000,1367.62437
9.415665,1000,1373.955896
-20.696378,1000,1384.00312
-30.24912,1000,1390.342607
-14.084721,1000,1396.686744
-31.241467,1000,1403.02186
-16.320202,1000,1409.374241
-3.529856,1000,1419.377732
-10.564425,1000,1425.726585
-0.103761,1000,1432.084551
-3.504521,1000,1438.438344
-0.904399,1000,1444.801661
8.664178,1000,1454.978034
0.592319,1000,1461.43456
-5.771075,1000,1467.770841
14.964319,1000,1474.105152
1.098528,1000,1480.435246
4.874346,1000,1490.430221
17.847721,1000,1496.770844
20.111238,1000,1503.101532
4.203295,1000,1509.437904
-29.291121,1000,1515.769761
-27.427769,1000,1525.767019
-5.016511,1000,1532.102539
-29.368002,1000,1538.436426
-34.485169,1000,1544.76858
-36.125106,1000,1551.104793
-31.632748,1000,1561.106549
-27.232291,1000,1567.45155
-35.249039,1000,1573.794429
-6.876009,1000,1580.137708
16.232636,1000,1586.470167
-31.121487,1000,1596.471894
11.591723,1000,1602.881209
-29.898999,1000,1609.23819
-22.067801,1000,1615.580749
-0.626008,1000,1621.931478
-25.440395,1000,1631.951349
-21.467845,1000,1638.30945
-20.052644,1000,1644.658499
-4.394302,1000,1651.005905
13.227691,1000,1657.638233
-10.825796,1000,1667.5962
15.705097,1000,1673.930674
-9.424887,1000,1680.270445
-4.089105,1000,1686.61037
-21.293164,1000,1692.959358
-13.1777,1000,1702.912995
22.076352,1000,1709.250616
-15.515719,1000,1715.594272
-5.109026,1000,1721.946894
14.98046,1000,1728.284445
5.783882,1000,1738.28425
21.494138,1000,1744.655448
-4.705052,1000,1751.064182
-38.360249,1000,1757.453204
-1.597979,1000,1763.830532
-28.707509,1000,1773.859858
17.150141,1000,1780.250207
-3.422715,1000,1786.646216
10.03823,1000,1793.030753
-26.621673,1000,1799.422712
20.020587,1000,1809.585557
7.54267,1000,1815.984066
-11.365815,1000,1822.368603
8.046508,1000,1828.770819
18.7713,1000,1835.176182
-10.567212,1000,1845.271247
5.071623,1000,1851.727763
4.656535,1000,1858.181866
-6.954347,1000,1864.677282
6.140675,1000,1871.148384
-31.02995,1000,1881.219101
-4.85161,1000,1887.651709
-15.569492,1000,1894.021175
-20.876015,1000,1900.376497
-26.758788,1000,1906.735173
-33.801433,1000,1916.710789
-34.407531,1000,1923.076849
-1.676754,1000,1929.426401
-24.782873,1000,1935.779879
-41.750262,1000,1942.125297
-16.793476,1000,1952.104433
15.455175,1000,1958.461158
