#{"t_start": 1771152693.098978, "env_id": "Swimmer-v5"}
r,l,t
4.066988,1000,3.029668
-22.621329,1000,3.316804
-3.376039,1000,3.603823
16.916075,1000,3.891988
0.249021,1000,4.198393
4.56603,1000,8.499239
-10.169231,1000,8.790581
-17.844669,1000,9.081618
-9.496553,1000,9.388529
24.560943,1000,9.678839
22.69777,1000,20.154164
33.565568,1000,26.660591
32.903546,1000,33.170657
28.162618,1000,39.679988
34.89432,1000,46.1812
31.727138,1000,56.711865
26.327732,1000,63.168457
28.445243,1000,69.660956
25.639169,1000,76.211022
22.958467,1000,82.723934
27.136051,1000,93.352381
19.973195,1000,99.864896
28.071062,1000,106.357536
24.894411,1000,112.86596
24.014439,1000,119.430874
26.237765,1000,129.93503
45.035491,1000,136.437344
9.34143,1000,143.257
28.567015,1000,149.833596
38.673014,1000,156.336665
43.271678,1000,166.811406
13.901952,1000,173.207392
20.254197,1000,179.64026
30.060107,1000,186.042049
23.613987,1000,192.550459
14.20209,1000,202.760013
8.546041,1000,209.385107
26.665438,1000,215.875089
27.227197,1000,222.368392
37.596405,1000,228.85778
37.667222,1000,239.25872
31.523424,1000,245.769025
-7.137971,1000,252.25947
30.62024,1000,258.761984
40.036609,1000,265.280671
25.657795,1000,275.776841
11.751882,1000,282.281055
22.149126,1000,288.791011
12.832275,1000,295.315649
16.949831,1000,301.834404
44.637983,1000,312.359868
74.718955,1000,318.857651
66.437476,1000,325.381907
34.290239,1000,331.87904
25.480224,1000,338.380701
7.928131,1000,348.853202
26.395263,1000,355.364929
4.320338,1000,361.871157
20.030254,1000,368.384053
-2.147436,1000,374.895986
-5.845614,1000,385.125661
-2.79255,1000,391.601223
2.538837,1000,398.121458
4.329539,1000,404.627728
-7.106073,1000,411.147826
-1.977764,1000,421.485682
-11.160334,1000,427.99197
-12.707479,1000,434.514693
-15.757169,1000,441.027648
37.665388,1000,447.529735
24.209223,1000,457.862651
35.396169,1000,464.38359
47.650882,1000,470.88873
41.024716,1000,477.374457
30.458363,1000,483.849251
45.710665,1000,494.117055
52.430536,1000,500.619045
38.461083,1000,507.107648
53.069345,1000,513.591739
48.721844,1000,520.080935
37.977042,1000,530.356582
22.438026,1000,536.856421
22.863535,1000,543.354728
45.388029,1000,549.853489
12.753388,1000,556.354892
50.341328,1000,566.695172
40.501433,1000,573.26001
15.072361,1000,579.761634
1.791419,1000,586.279226
-0.336045,1000,592.784904
3.39613,1000,603.244883
5.406572,1000,609.751758
12.192857,1000,616.261458
16.386291,1000,622.765141
22.214482,1000,629.26242
33.525377,1000,639.614411
2.327355,1000,646.125239
26.13887,1000,652.617917
4.131126,1000,659.118094
1.911308,1000,665.612423
6.657612,1000,676.04947
26.794357,1000,682.546181
12.355705,1000,689.033414
29.282487,1000,695.529816
19.187956,1000,702.059808
16.700166,1000,712.408895
30.863919,1000,718.889865
23.682878,1000,725.319897
10.641466,1000,731.80103
29.948425,1000,738.243858
18.369935,1000,748.422637
59.706807,1000,754.868514
29.863982,1000,761.303134
45.793652,1000,767.731501
46.058179,1000,774.145841
40.383763,1000,784.302624
51.883131,1000,790.749159
